	H2	H3	H4	J2	J3	J4	J5	J6	L1	L2	L3	L4	L5	L6	M1	M2	M3	M4	M5	M6	N1	N2	N3	N4	N5	N6	O1	O2	O3	O4	O6	R1	R2	R3	R4	R5	R6	S1	S2	S3	S4	S5	S6	S7	T1	T2	T3	T4	T5	V1	V2	V3	V4	V5	V6	X1	X2	X3	X4	X5	X6	Z2	Z3	Z4	Z5
OTU_89	0.164890858	0	0.325495293	0	0	0	0	0	3.826221159	3.711719182	92.48716261	72.43743623	129.6104845	95.95979203	20.57517253	11.46848618	7.661722025	0	0	0	0	0	0	0	0	0	83.71210236	97.6436219	72.45339735	78.02745453	23.68837125	0	0.147962472	0	0	0	0	1.482597775	0.854719713	5.569805507	4.278909216	0.263722236	13.49004244	14.95295537	0.802641803	0.501304216	0	0.329715927	0.450010891	9.834943013	11.03957252	4.718899394	11.01074359	11.02209101	4.478912101	6.466859692	11.67157547	12.44146954	0	9.328603022	0.726186292	0	0	0	0
OTU_9	0	23.6730017	0	153.0491105	44.30913003	305.5205947	182.7851978	207.5938001	0	0	0	0	0	0	0	0	0	0	0.146156839	0.320446702	115.4028767	0	470.8779561	275.6895172	23.98035714	226.3083652	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.498431846	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34.91914345	0	0	1.173696918	0	0	0	0	0	0	0	0	0	0	0	0	0	84.92095024	110.3957252	90.42728142	41.77091617	67.41667314	0	0	0	0	0	0.190379654	0	0	0	0	0
OTU_91	0	0	0	0	0	0	0	0	0	0	0	0	0.443871522	0	0	0	0	8.110480196	6.138587245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.337251061	0	0.535094535	0	0.276535939	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_915	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.431270222	0	0	0	0	0	0.555974166	0	0	0	0	0	0	0.263722236	0	0	3.745661746	5.01304216	3.318431268	2.637727418	0.450010891	0	0	0	0	0	0	0	0	0	0	0	0	1.503365472	1.357870523	1.609661083	1.936723693
OTU_94	0	0	0	0	0	0	0	0	19.44995756	11.42067441	13.98965485	29.31991466	19.53034698	23.39318313	0	0	0	0	0	0	0	0	0	0	0	0	20.56086725	8.215968186	4.743972445	1.727545119	10.47275361	0	0	0	0	0	0	38.54754216	11.96607598	1.060915335	21.39454608	10.81261169	4.384263794	1.993727382	0	0	0	0.329715927	0	0	0	0	0	0	0	23.92738086	14.42554272	12.88900442	113.0631098	11.0420199	35.76467487	15.28421563	0	63.09871445	32.27872822
OTU_95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.796422651	2.498387617	0.434490011	1.169254713	0	0	0	0	0	0	0	0	0	0	0	0.249351276	0.326433876	0	0	0	0	0	2.223896663	2.564159139	2.917517171	6.180646646	0.791166709	2.698008488	4.984318456	0	0	0	0	0.450010891	0	0	0	0	0	0	3.718444323	3.016249841	10.56182307	0	10.47088094	0	0	0	0	0
OTU_964	0	0	0	0	0	0	0	0	0	0	5.051819806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.64491064	28.07303609	5.530718779	16.81551229	16.65040296	0	0	0	0	0	0	0	0	0	0	0	0	9.771875568	29.53368386	14.16501753	13.23427857
OTU_97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.18048397	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20.38571941	25.92649797	33.68406188	60.38016339	23.2075568	19.22331048	38.37925211	0	0	0	0	0	0	0	0	0	0	0	5.65850223	41.3095087	27.12061347	41.57195122	18.65720604	26.86889279	65.89751986	77.05915215	75.97600312	71.33598938
OTU_974	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.555974166	0	0	0	0	0	0	0	0	0	0	0	0	0	0.450010891	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_98	1.319126861	0	0.650990586	0	0	0	0	0	0	0	0	0	0	0	0	0.637138121	0.832795872	0	0	0	0	2.003070211	0	0	0	0	0	0	0	0	0	4.570074261	16.86772184	11.46914937	2.779870829	8.215878426	1.199837389	0	0	0	0	0	0	0	0	0	0	0	0	16.07634916	41.11840781	14.81514926	27.43947213	31.99616709	33.38825384	0	0	0	0	0	0.181546573	0	0	0	0
