Samples	M1_S1	M2_S2	M3_S3	N4_S4	N5_S5	N6_S6	O1_S7	O2_S8	O3_S9	V1_S10	V4_S12	V6_S11	X1_S13	X2_S14	X4_S15	Z2_S16	Z3_S17	Z4_S18
Condition	Remission-Responder	Remission-Responder	Remission-Responder	Relapse-non-responder	Relapse-non-responder	Relapse-non-responder	Baseline-Active	Baseline-Active	Baseline-Active	Baseline-Active	Baseline-Active	Baseline-Active	Relapse-non-responder	Relapse-non-responder	Relapse-non-responder	Remission-Responder	Remission-Responder	Remission-Responder
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Bacteroidaceae |Bacteroides |Bacteroides sp. AF39-16AC 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000211996	5.55E-06	3.12E-06
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Bacteroidaceae |Bacteroides |Bacteroides sp. AM16-13 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.91E-05	9.31E-05	7.80E-05
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Bacteroidaceae |Bacteroides |Bacteroides sp. AM23-18 	0	0	0	0	0	0	0	0	0	0	2.68E-07	3.60E-06	0	0	0	1.76E-05	3.24E-05	4.15E-05
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Bacteroidaceae |Bacteroides |Bacteroides sp. AM30-16 	3.25E-07	2.37E-07	1.96E-07	0	0	0	0	0	0	0	0	0	0	0	0	8.27E-06	3.45E-06	4.16E-06
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Bacteroidaceae |Bacteroides |Bacteroides sp. AM51-7 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.48E-06	0	0
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Bacteroidaceae |Bacteroides |Bacteroides sp. AM54-2NS 	1.04E-05	8.06E-06	6.46E-06	0	0	0	0	0	1.25E-06	2.01E-06	1.61E-06	1.12E-06	5.50E-06	6.62E-06	0	9.79E-07	1.05E-06	1.77E-06
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Bacteroidaceae |Bacteroides |Bacteroides sp. AR20 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.46E-06	7.19E-06	3.80E-06
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Bacteroidaceae |Bacteroides |Bacteroides sp. AR29 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.07E-06	1.65E-06	1.67E-06
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Bacteroidaceae |Bacteroides |Bacteroides sp. CAG	0	2.37E-07	3.72E-06	0	0	0	0	0	3.91E-06	0.000235013	0.000206939	0.00030268	7.06E-07	6.92E-06	0	2.72E-06	7.49E-07	9.05E-07
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Bacteroidaceae |Bacteroides |Bacteroides sp. CF01-10NS 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.72E-06	1.05E-06	1.40E-06
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Bacteroidaceae |Bacteroides |Bacteroides sp. D2 	0	3.32E-06	0	0	0	0	0	0	1.25E-06	0	0	0	0	0	0	0.000740299	0.00026711	0.00041777
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Bacteroidaceae |Bacteroides |Bacteroides sp. D22 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.42E-05	1.54E-05	2.58E-05
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Bacteroidaceae |Bacteroides |Bacteroides sp. HMSC073E02 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.51E-06	2.55E-06	3.71E-06
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Bacteroidaceae |Bacteroides |Bacteroides sp. HPS0048 	0	0	0	0	0	0	9.91E-05	0.000110076	2.05E-05	0	0	0	0	0	0	2.39E-06	4.05E-06	2.67E-06
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Bacteroidaceae |Bacteroides |Bacteroides stercoris 	0.000209151	0.000304565	0.0003604	0	5.51E-07	0	0	0	1.41E-06	6.69E-07	1.34E-06	4.10E-06	2.82E-07	4.41E-07	1.67E-07	0.015244226	0.006124037	0.022293636
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Bacteroidaceae |Bacteroides |Bacteroides stercoris CAG	0	0	0	0	0	0	0	0	0	3.79E-06	3.75E-06	2.61E-06	0	0	0	5.55E-06	2.55E-06	4.84E-06
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Bacteroidaceae |Bacteroides |Bacteroides thetaiotaomicron 	0	1.90E-06	1.37E-06	4.18E-05	2.21E-06	0	1.52E-05	1.27E-05	1.99E-05	0.003515833	0.007733856	0.002096794	0.00028418	0.001083837	0.000760422	0.000566482	0.000695654	0.000491782
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Bacteroidaceae |Bacteroides |Bacteroides thetaiotaomicron CAG	0	0	0	0	0	0	0	0	0	3.57E-06	4.82E-06	5.96E-06	0	0	0	0	0	4.07E-07
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Bacteroidaceae |Bacteroides |Bacteroides togonis 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.02E-05	0	1.05E-05
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Bacteroidaceae |Bacteroides |Bacteroides uniformis 	1.74E-05	3.01E-05	2.33E-05	0	0	0	0.000114602	0.000105711	0.001430215	0.001285437	0.000442256	0.000695829	6.10E-05	5.87E-05	4.69E-06	0.000938481	0.000231285	0.000317232
