Condition	Remission-Responder	Remission-Responder	Remission-Responder	Relapse-non-responder	Relapse-non-responder	Relapse-non-responder	Baseline-Active	Baseline-Active	Baseline-Active	Baseline-Active	Baseline-Active	Baseline-Active	Relapse-non-responder	Relapse-non-responder	Relapse-non-responder	Remission-Responder	Remission-Responder	Remission-Responder				
Taxonomy	M1_S1	M2_S2	M3_S3	N4_S4	N5_S5	N6_S6	O1_S7	O2_S8	O3_S9	V1_S10	V4_S12	V6_S11	X1_S13	X2_S14	X4_S15	Z2_S16	Z3_S17	Z4_S18				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Bacteroidaceae |Bacteroides |Bacteroides faecis 	0	0	0	0.000153714	1.86E-05	0	2.26E-06	3.61E-06	0.000287598	4.50E-06	1.08E-05	4.32E-06	0	0	0	4.46E-07	2.50E-07	4.37E-06				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Bacteroidaceae |Bacteroides |Bacteroides finegoldii 	0	0	0	0	0	0	0	0	0	1.26E-06	0	1.34E-06	0	0	0	4.36E-05	1.75E-06	1.33E-05				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Bacteroidaceae |Bacteroides |Bacteroides fluxus 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.85E-05	1.90E-05	3.11E-05				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Bacteroidaceae |Bacteroides |Bacteroides fragilis 	0.000633343	0.000679058	0.00062711	0.00897619	0.005788677	0.020834053	6.27E-05	6.85E-05	0.00066496	0.000806523	0.000271823	0.000199273	0.000542819	0.000567444	5.57E-05	0.000142312	0.00034139	0.000210612				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Bacteroidaceae |Bacteroides |Bacteroides fragilis CAG	0	0	0	3.76E-05	2.85E-05	7.15E-05	5.08E-06	5.06E-06	1.18E-06	7.74E-06	8.11E-07	4.80E-07	0	0	0	7.13E-07	1.13E-06	8.50E-07				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Bacteroidaceae |Bacteroides |Bacteroides gallinarum 	0	0	3.52E-07	0	0	0	0	0	0	0	0	0	0	0	0	0.000252168	0.000112378	0.00018877				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Bacteroidaceae |Bacteroides |Bacteroides graminisolvens 	0	0	0	0	0	0	0	0	2.95E-07	0	0	0	0	0	0	0	0	7.73E-08				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Bacteroidaceae |Bacteroides |Bacteroides ilei 	0	0	0	0	0	0	0	0	2.95E-07	0	0	0	0	0	0	4.46E-07	2.50E-07	3.87E-08				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Bacteroidaceae |Bacteroides |Bacteroides intestinalis 	3.33E-06	4.53E-06	3.88E-06	0	0	0	1.89E-05	1.95E-05	5.46E-06	2.50E-05	1.56E-05	5.66E-06	4.25E-06	7.18E-06	1.11E-05	4.82E-06	7.63E-06	3.79E-06				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Bacteroidaceae |Bacteroides |Bacteroides intestinalis CAG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.16E-06	6.88E-06	3.52E-06				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Bacteroidaceae |Bacteroides |Bacteroides mediterraneensis 	1.74E-06	2.16E-07	2.47E-06	0	0	0	0	0	0	0	0	0	0	0	0	0.000224258	0.000110751	0.000130473				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Bacteroidaceae |Bacteroides |Bacteroides nordii 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.89E-05	0.000122515	8.95E-05				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Bacteroidaceae |Bacteroides |Bacteroides ovatus 	0.000112627	7.98E-05	5.87E-05	0	0	0	0.00047331	0.000600627	0.000984447	0.000565934	0.000722563	0.00073201	0.000880266	0.001110445	0.000199734	0.000866269	0.000405963	0.000665431				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Bacteroidaceae |Bacteroides |Bacteroides pyogenes 	0	0	0	0	0	0	0	0	4.43E-07	0	0	0	0	0	0	5.26E-06	4.38E-06	4.37E-06				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Bacteroidaceae |Bacteroides |Bacteroides salanitronis 	0	0	0	1.59E-05	1.26E-06	0	0	0	0	0	0	0	0	0	4.78E-07	1.69E-06	1.63E-06	3.87E-08				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Bacteroidaceae |Bacteroides |Bacteroides sp. 1_1_14 	0	0	0	0	0	0	0	0	4.43E-07	1.08E-06	1.01E-06	9.60E-08	0	0	0	1.23E-05	2.50E-06	2.78E-06				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Bacteroidaceae |Bacteroides |Bacteroides sp. 1_1_30 	0	0	0	0	0	0	0	0	7.38E-07	1.44E-05	1.97E-05	2.05E-05	1.59E-05	1.81E-05	7.96E-07	1.78E-07	0	3.87E-08				
Bacteria |Bacteroidetes |Bacteroidia |Bacteroidales |Bacteroidaceae |Bacteroides |Bacteroides sp. 2_1_22 	0	0	0	0	0	0	0	0	2.95E-07	0	0	0	0	0	0	2.68E-07	0	7.73E-08				
