Condition	Remission-Responder	Remission-Responder	Remission-Responder	Relapse-non-responder	Relapse-non-responder	Relapse-non-responder	Baseline-Active	Baseline-Active	Baseline-Active	Baseline-Active	Baseline-Active	Baseline-Active	Relapse-non-responder	Relapse-non-responder	Relapse-non-responder	Remission-Responder	Remission-Responder	Remission-Responder				
Taxonomy	M1_S1	M2_S2	M3_S3	N4_S4	N5_S5	N6_S6	O1_S7	O2_S8	O3_S9	V1_S10	V4_S12	V6_S11	X1_S13	X2_S14	X4_S15	Z2_S16	Z3_S17	Z4_S18				
Bacteria |Firmicutes |Clostridia |Clostridiales |Oscillospiraceae |Unknown|Unknown	7.85E-05	0.001401473	0.002227041	0	0	0	0	0	0	0	0	0	0.000216231	0.000452764	9.56E-07	0	0	0				
Bacteria |Firmicutes |Clostridia |Clostridiales |Peptococcaceae |Dehalobacter |Dehalobacter sp. FTH1 	2.90E-07	2.16E-07	1.76E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Firmicutes |Clostridia |Clostridiales |Peptococcaceae |Desulfitobacterium |Desulfitobacterium chlororespirans 	2.90E-07	2.16E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Firmicutes |Clostridia |Clostridiales |Peptococcaceae |Desulfitobacterium |Desulfitobacterium metallireducens 	0	1.08E-06	1.76E-07	0	0	0	0	0	0	0	4.06E-07	9.60E-08	0	0	0	0	0	0				
Bacteria |Firmicutes |Clostridia |Clostridiales |Peptococcaceae |Desulfonispora |Desulfonispora thiosulfatigenes* 	0	2.16E-07	3.52E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Firmicutes |Clostridia |Clostridiales |Peptococcaceae |Desulfosporosinus |Desulfosporosinus orientis 	1.45E-07	2.37E-06	1.94E-06	0	0	0	0	0	0	0	0	0	2.36E-07	0	0	0	0	0				
Bacteria |Firmicutes |Clostridia |Clostridiales |Peptococcaceae |Desulfotomaculum |Desulfotomaculum aeronauticum 	0	0	1.76E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Firmicutes |Clostridia |Clostridiales |Peptococcaceae |Desulfotomaculum |Desulfotomaculum ruminis 	2.17E-06	2.59E-06	7.05E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Firmicutes |Clostridia |Clostridiales |Peptococcaceae |Syntrophobotulus |Syntrophobotulus glycolicus* 	0	0	5.29E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Firmicutes |Clostridia |Clostridiales |Peptococcaceae |Unknown|Unknown	0	6.47E-07	7.05E-07	0	0	0	1.41E-06	1.26E-06	0	0	0	0	2.36E-07	0	0	0	0	0				
Bacteria |Firmicutes |Clostridia |Clostridiales |Peptostreptococcaceae |Paeniclostridium |Paeniclostridium sordellii* 	0	1.73E-06	0	0.000482483	3.55E-05	3.18E-05	0	0	0	7.20E-07	2.03E-07	1.92E-06	1.30E-06	9.73E-07	0.000835092	0	0	0				
Bacteria |Firmicutes |Clostridia |Clostridiales |Peptostreptococcaceae |Romboutsia |Unknown	4.34E-07	0	0	0.007885604	8.71E-05	8.74E-05	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Firmicutes |Clostridia |Clostridiales |Ruminococcaceae |Acetivibrio |Acetivibrio ethanolgignens 	0	4.31E-07	3.52E-07	0	0	0	0	0	0	3.24E-06	2.23E-06	8.93E-06	5.08E-06	7.90E-06	1.59E-07	0	0	0				
Bacteria |Firmicutes |Clostridia |Clostridiales |Ruminococcaceae |Agathobaculum |Agathobaculum butyriciproducens 	2.90E-07	0	1.76E-07	0	0	0	0	0	0	0	0	0	0	6.08E-06	0	0	0	0				
Bacteria |Firmicutes |Clostridia |Clostridiales |Ruminococcaceae |Anaeromassilibacillus |Anaeromassilibacillus sp. An200 	1.01E-06	1.94E-06	4.41E-06	0	0	0	1.41E-06	7.23E-07	0	0	6.49E-06	0	7.08E-07	6.08E-07	0	0	0	0				
Bacteria |Firmicutes |Clostridia |Clostridiales |Ruminococcaceae |Anaeromassilibacillus |Anaeromassilibacillus sp. Marseille-P3371 	0	4.31E-07	0	0	0	0	0	0	0	3.60E-07	0	1.92E-07	0	0	0	0	0	0				
Bacteria |Firmicutes |Clostridia |Clostridiales |Ruminococcaceae |Anaerotruncus |Anaerotruncus sp. CAG	5.79E-07	4.31E-07	3.52E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Firmicutes |Clostridia |Clostridiales |Ruminococcaceae |Anaerotruncus |Anaerotruncus sp. Marseille-P4302 	0	2.16E-07	1.76E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Firmicutes |Clostridia |Clostridiales |Ruminococcaceae |Angelakisella |Angelakisella massiliensis* 	7.82E-06	7.12E-06	1.13E-05	0	0	0	0	0	0	3.60E-07	5.07E-06	0	2.95E-06	1.58E-06	3.03E-06	0	0	0				
Bacteria |Firmicutes |Clostridia |Clostridiales |Ruminococcaceae |Bittarella |Bittarella massiliensis* 	1.30E-06	2.59E-06	4.05E-06	0	0	0	0	0	0	0	0	0	1.18E-06	9.73E-07	0	0	0	0				
Bacteria |Firmicutes |Clostridia |Clostridiales |Ruminococcaceae |Drancourtella |Drancourtella sp. An12 	1.01E-06	4.31E-07	5.29E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Firmicutes |Clostridia |Clostridiales |Ruminococcaceae |Drancourtella |Drancourtella sp. An177 	0	1.51E-06	3.52E-07	0	0	0	0	0	0	0	0	0	0	1.70E-06	0	0	0	0				
Bacteria |Firmicutes |Clostridia |Clostridiales |Ruminococcaceae |Drancourtella |Drancourtella sp. An210 	1.45E-06	1.94E-06	1.59E-06	0	0	0	0	0	0	0	0	0	3.54E-07	3.65E-07	0	0	0	0				
Bacteria |Firmicutes |Clostridia |Clostridiales |Ruminococcaceae |Faecalibacterium |Faecalibacterium sp. AF28-13AC 	4.34E-07	4.31E-07	1.59E-06	0	0	0	0	0	0	0	0	0	8.26E-07	2.43E-07	0	0	0	0				
Bacteria |Firmicutes |Clostridia |Clostridiales |Ruminococcaceae |Faecalibacterium |Faecalibacterium sp. An122 	8.69E-07	3.24E-06	3.52E-07	0	0	0	0	0	0	0	0	0	1.18E-07	0	3.19E-07	0	0	0				
Bacteria |Firmicutes |Clostridia |Clostridiales |Ruminococcaceae |Faecalibacterium |Faecalibacterium sp. An192 	1.74E-06	3.24E-06	1.23E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Firmicutes |Clostridia |Clostridiales |Ruminococcaceae |Faecalibacterium |Faecalibacterium sp. CAG	3.76E-06	8.20E-05	9.16E-05	0	0	0	1.69E-06	0	0	1.80E-07	0	4.80E-07	0	8.51E-07	0	0	0	0				
Bacteria |Firmicutes |Clostridia |Clostridiales |Ruminococcaceae |Faecalibacterium |Faecalibacterium sp. OF03-6AC 	2.90E-07	0	0	0	0	0	0	0	0	0	0	0	0	3.65E-07	0	0	0	0				
Bacteria |Firmicutes |Clostridia |Clostridiales |Ruminococcaceae |Faecalibacterium |Faecalibacterium sp. OM04-11BH 	4.34E-07	2.16E-07	1.76E-07	0	0	0	0	0	0	0	0	0	0	3.65E-07	0	0	0	0				
Bacteria |Firmicutes |Clostridia |Clostridiales |Ruminococcaceae |Faecalibacterium |uncultured Faecalibacterium sp. 	1.45E-07	2.16E-07	1.76E-07	0	0	0	1.41E-06	5.42E-07	0	0	0	0	0	0	0	0	0	0				
Bacteria |Firmicutes |Clostridia |Clostridiales |Ruminococcaceae |Flavonifractor |Flavonifractor sp. An10 	3.62E-06	7.77E-06	1.57E-05	0	0	0	4.21E-05	3.87E-05	2.58E-05	0	0	0	9.44E-07	1.58E-06	0	0	0	0				
Bacteria |Firmicutes |Clostridia |Clostridiales |Ruminococcaceae |Flavonifractor |Flavonifractor sp. An100 	4.34E-06	8.63E-07	3.88E-06	0	0	0	0	0	0	0	0	0	5.67E-06	8.51E-07	0	0	0	0				
Bacteria |Firmicutes |Clostridia |Clostridiales |Ruminococcaceae |Flavonifractor |Flavonifractor sp. An112 	1.45E-07	4.31E-07	3.52E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Firmicutes |Clostridia |Clostridiales |Ruminococcaceae |Flavonifractor |Flavonifractor sp. An135 	1.01E-06	2.16E-07	1.06E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Firmicutes |Clostridia |Clostridiales |Ruminococcaceae |Flavonifractor |Flavonifractor sp. An306 	5.65E-06	1.90E-05	1.64E-05	0	0	0	7.62E-06	6.32E-06	3.40E-06	0	7.10E-06	0	4.72E-07	7.30E-07	0	0	0	0				
Bacteria |Firmicutes |Clostridia |Clostridiales |Ruminococcaceae |Flavonifractor |Flavonifractor sp. An4 	7.24E-07	7.12E-06	5.29E-06	0	0	0	0	1.81E-07	1.48E-07	0	0	0	0	0	0	0	0	0				
Bacteria |Firmicutes |Clostridia |Clostridiales |Ruminococcaceae |Flavonifractor |Flavonifractor sp. An82 	2.61E-06	6.04E-06	1.04E-05	0	0	0	2.82E-07	1.81E-07	1.48E-07	0	1.83E-06	0	4.72E-07	2.68E-06	0	0	0	0				
Bacteria |Firmicutes |Clostridia |Clostridiales |Ruminococcaceae |Flavonifractor |Flavonifractor sp. An9 	1.16E-06	2.37E-06	5.81E-06	0	0	0	0	0	0	0	0	0	1.18E-07	1.22E-07	1.59E-07	0	0	0				
Bacteria |Firmicutes |Clostridia |Clostridiales |Ruminococcaceae |Flavonifractor |uncultured Flavonifractor sp.* 	4.78E-05	0.000134172	0.000165808	0	0	0	4.07E-05	7.59E-06	1.92E-06	3.40E-05	1.38E-05	4.08E-05	1.92E-05	1.24E-05	3.46E-05	0	0	0				
Bacteria |Firmicutes |Clostridia |Clostridiales |Ruminococcaceae |Fournierella |Fournierella massiliensis* 	3.18E-06	6.47E-06	4.93E-06	0	0	0	0	0	0	0	0	0	0	2.43E-07	0	0	0	0				
Bacteria |Firmicutes |Clostridia |Clostridiales |Ruminococcaceae |Gemmiger |Gemmiger formicilis 	0.000575293	0.000564731	0.000174266	0	0	0	5.65E-07	1.81E-07	0.000415452	0	0	0	0	9.61E-06	0	0	0	0				
Bacteria |Firmicutes |Clostridia |Clostridiales |Ruminococcaceae |Gemmiger |Gemmiger sp. An120 	1.45E-07	0	5.29E-07	0	0	0	3.39E-06	4.34E-06	2.95E-06	0	0	0	4.01E-06	1.46E-06	1.00E-05	0	0	0				
Bacteria |Firmicutes |Clostridia |Clostridiales |Ruminococcaceae |Gemmiger |Gemmiger sp. An87 	1.45E-07	0	1.76E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Firmicutes |Clostridia |Clostridiales |Ruminococcaceae |Hydrogenoanaerobacterium |Hydrogenoanaerobacterium saccharovorans* 	1.74E-06	6.47E-07	2.29E-06	0	0	0	0	0	0	5.40E-07	6.09E-07	1.92E-07	1.53E-06	4.86E-07	2.23E-06	0	0	0				
Bacteria |Firmicutes |Clostridia |Clostridiales |Ruminococcaceae |Marasmitruncus |Marasmitruncus massiliensis* 	5.79E-07	1.29E-06	1.59E-06	0	0	0	2.82E-07	3.61E-07	0	5.40E-07	8.11E-07	5.76E-07	5.90E-07	7.30E-07	1.59E-07	0	0	0				
Bacteria |Firmicutes |Clostridia |Clostridiales |Ruminococcaceae |Massilimaliae |Massilimaliae massiliensis 	2.03E-06	2.80E-06	2.82E-06	0	0	0	0	0	0	0	0	0	1.18E-07	8.51E-07	1.59E-07	0	0	0				
Bacteria |Firmicutes |Clostridia |Clostridiales |Ruminococcaceae |Negativibacillus |Negativibacillus massiliensis 	0	6.47E-07	2.47E-06	0	0	0	0	0	0	0	0	0	2.29E-05	2.27E-05	0	0	0	0				
Bacteria |Firmicutes |Clostridia |Clostridiales |Ruminococcaceae |Neglecta |Neglecta timonensis 	5.79E-07	6.47E-07	2.47E-06	0	0	0	1.69E-06	3.61E-07	2.95E-07	0	0	0	2.36E-07	4.86E-07	0	0	0	0				
Bacteria |Firmicutes |Clostridia |Clostridiales |Ruminococcaceae |Papillibacter |Papillibacter cinnamivorans* 	3.47E-06	5.82E-06	8.11E-06	0	0	0	2.82E-07	1.81E-07	1.48E-07	0	0	0	0	0	0	0	0	0				
Bacteria |Firmicutes |Clostridia |Clostridiales |Ruminococcaceae |Phocea |Phocea massiliensis* 	4.92E-06	7.33E-06	7.05E-06	0	0	0	0	0	0	0	0	0	1.24E-05	6.93E-06	1.47E-05	0	0	0				
Bacteria |Firmicutes |Clostridia |Clostridiales |Ruminococcaceae |Pseudoflavonifractor |Pseudoflavonifractor sp. AF19-9AC 	1.45E-06	1.94E-06	2.64E-06	0	0	0	3.11E-06	5.42E-07	8.86E-07	0	0	0	0	2.43E-07	0	0	0	0				
Bacteria |Firmicutes |Clostridia |Clostridiales |Ruminococcaceae |Pseudoflavonifractor |Pseudoflavonifractor sp. An85 	4.34E-07	4.31E-07	5.29E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Firmicutes |Clostridia |Clostridiales |Ruminococcaceae |Pseudoflavonifractor |Pseudoflavonifractor sp. Marseille-P3106 	8.69E-07	5.61E-06	4.93E-06	0	0	0	0	0	0	0	1.62E-06	0	0	0	0	0	0	0				
Bacteria |Firmicutes |Clostridia |Clostridiales |Ruminococcaceae |Pygmaiobacter |Pygmaiobacter massiliensis* 	5.79E-07	8.63E-07	3.52E-07	0	0	0	0	0	0	0	0	0	3.54E-07	0	9.56E-07	0	0	0				
Bacteria |Firmicutes |Clostridia |Clostridiales |Ruminococcaceae |Ruminococcus |Ruminococcus albus 	1.45E-07	8.63E-07	5.29E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Firmicutes |Clostridia |Clostridiales |Ruminococcaceae |Ruminococcus |Ruminococcus bromii 	1.45E-07	6.47E-07	8.81E-07	0	2.52E-07	1.53E-07	0	0	0	0	0	0	0	2.19E-06	0	0	0	0				
Bacteria |Firmicutes |Clostridia |Clostridiales |Ruminococcaceae |Ruminococcus |Ruminococcus flavefaciens 	1.74E-06	1.73E-06	1.06E-06	0	0	0	0	0	0	0	0	0	5.90E-07	0	3.19E-07	0	0	0				
Bacteria |Firmicutes |Clostridia |Clostridiales |Ruminococcaceae |Ruminococcus |Ruminococcus gauvreauii 	7.24E-07	5.82E-06	3.70E-06	0	0	0	0	0	0	0	0	0	0	4.13E-06	0	0	0	0				
Bacteria |Firmicutes |Clostridia |Clostridiales |Ruminococcaceae |Ruminococcus |Ruminococcus lactaris 	1.45E-07	1.40E-05	3.52E-07	0	5.04E-07	1.53E-07	0	0	0	0	0	0	1.18E-06	3.04E-06	4.94E-06	0	0	0				
Bacteria |Firmicutes |Clostridia |Clostridiales |Ruminococcaceae |Ruminococcus |Ruminococcus obeum CAG	0	4.31E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Firmicutes |Clostridia |Clostridiales |Ruminococcaceae |Ruminococcus |Ruminococcus sp. 1xD21-23 	4.34E-07	1.08E-06	1.76E-07	0	0	0	0	0	0	0	0	0	7.44E-06	2.31E-06	0	0	0	0				
Bacteria |Firmicutes |Clostridia |Clostridiales |Ruminococcaceae |Ruminococcus |Ruminococcus sp. AF17-22AC 	2.90E-07	1.08E-06	1.76E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Firmicutes |Clostridia |Clostridiales |Ruminococcaceae |Ruminococcus |Ruminococcus sp. AF18-22 	5.94E-06	9.28E-06	8.28E-06	0	0	0	0	0	0	0	0	0	7.08E-07	1.22E-07	4.78E-07	0	0	0				
Bacteria |Firmicutes |Clostridia |Clostridiales |Ruminococcaceae |Ruminococcus |Ruminococcus sp. AF18-29 	2.90E-07	4.31E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Firmicutes |Clostridia |Clostridiales |Ruminococcaceae |Ruminococcus |Ruminococcus sp. AF31-8BH 	7.24E-07	1.51E-05	1.37E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Firmicutes |Clostridia |Clostridiales |Ruminococcaceae |Ruminococcus |Ruminococcus sp. AF34-12 	1.45E-07	2.16E-07	1.23E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Firmicutes |Clostridia |Clostridiales |Ruminococcaceae |Ruminococcus |Ruminococcus sp. AF42-10 	0	0	5.29E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Firmicutes |Clostridia |Clostridiales |Ruminococcaceae |Ruminococcus |Ruminococcus sp. AM42-11 	2.61E-06	3.82E-05	3.17E-05	0	0	0	0	0	0	0	0	0	5.29E-05	7.42E-06	0	0	0	0				
Bacteria |Firmicutes |Clostridia |Clostridiales |Ruminococcaceae |Ruminococcus |Ruminococcus sp. AM46-18 	0	6.47E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Firmicutes |Clostridia |Clostridiales |Ruminococcaceae |Ruminococcus |Ruminococcus sp. AM58-7XD 	5.79E-07	8.63E-07	1.23E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Firmicutes |Clostridia |Clostridiales |Ruminococcaceae |Ruminococcus |Ruminococcus sp. HUN007 	2.90E-07	4.31E-07	1.41E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Firmicutes |Clostridia |Clostridiales |Ruminococcaceae |Ruminococcus |Ruminococcus sp. Marseille-P6503 	1.45E-07	4.31E-07	3.52E-07	0	0	0	0	0	0	0	0	0	4.72E-07	2.43E-07	0	0	0	0				
Bacteria |Firmicutes |Clostridia |Clostridiales |Ruminococcaceae |Ruthenibacterium |Ruthenibacterium lactatiformans* 	1.65E-05	4.18E-05	3.58E-05	0	0	0	0	0	6.50E-06	0	0	0	5.67E-06	6.81E-06	0	0	0	0				
Bacteria |Firmicutes |Clostridia |Clostridiales |Ruminococcaceae |Sporobacter |Sporobacter termitidis* 	0	0	1.59E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Firmicutes |Clostridia |Clostridiales |Ruminococcaceae |Subdoligranulum |Subdoligranulum sp. 4_3_54A2FAA 	0.000198761	0.000413518	0.000389411	0	0	0	0	0	0	0	0	0	5.43E-06	5.72E-06	0	0	0	0				
Bacteria |Firmicutes |Clostridia |Clostridiales |Ruminococcaceae |Subdoligranulum |Subdoligranulum sp. 60_17 	0.000134486	8.52E-05	4.23E-05	0	0	0	5.65E-07	3.61E-07	0.000276082	0	0	0	0	0	0	0	0	0				
Bacteria |Firmicutes |Clostridia |Clostridiales |Ruminococcaceae |Subdoligranulum |Subdoligranulum sp. AF14-43 	9.41E-06	1.19E-05	1.46E-05	0	0	0	0	0	0	0	0	0	2.60E-06	6.08E-07	6.85E-06	0	0	0				
Bacteria |Firmicutes |Clostridia |Clostridiales |Ruminococcaceae |Subdoligranulum |Subdoligranulum sp. AM16-9 	1.45E-07	2.16E-07	1.76E-07	0	0	0	0	0	0	0	0	0	2.95E-06	2.68E-06	0	0	0	0				
Bacteria |Firmicutes |Clostridia |Clostridiales |Ruminococcaceae |Subdoligranulum |Subdoligranulum sp. AM23-21AC 	2.90E-07	8.63E-07	1.76E-07	0	0	0	0	0	0	0	0	0	2.83E-06	4.74E-06	0	0	0	0				
Bacteria |Firmicutes |Clostridia |Clostridiales |Ruminococcaceae |Subdoligranulum |Subdoligranulum sp. APC924/74 	0.000298069	0.000240518	9.07E-05	0	0	0	0	0	6.57E-05	0	0	0	0	0	3.19E-07	0	0	0				
Bacteria |Firmicutes |Clostridia |Clostridiales |Ruminococcaceae |Subdoligranulum |Subdoligranulum sp. OF01-18 	4.47E-05	8.20E-05	8.11E-05	0	0	0	0	7.23E-07	2.95E-07	0	0	0	2.71E-06	2.07E-06	0	0	0	0				
Bacteria |Firmicutes |Clostridia |Clostridiales |Ruminococcaceae |Subdoligranulum |Unknown	0.000382901	0.000517922	0.000427647	0	0	0	0	0	0.00012564	0	0	0	1.04E-05	8.88E-06	0	1.78E-07	0	0				
Bacteria |Firmicutes |Clostridia |Clostridiales |Ruminococcaceae |Unknown|Ruminococcaceae bacterium 	5.94E-06	4.96E-06	1.09E-05	0	0	0	0	0	0	0	0	0	1.53E-06	8.51E-07	6.37E-07	0	0	0				
Bacteria |Firmicutes |Clostridia |Clostridiales |Ruminococcaceae |Unknown|Ruminococcaceae bacterium AF10-16 	0	4.31E-07	1.06E-06	0	0	0	0	0	0	0	0	0	2.12E-05	2.07E-06	0	0	0	0				
Bacteria |Firmicutes |Clostridia |Clostridiales |Ruminococcaceae |Unknown|Ruminococcaceae bacterium AM07-15 	1.45E-07	0	1.06E-06	0	0	0	0	0	0	0	0	0	3.54E-07	2.43E-07	7.96E-07	0	0	0				
Bacteria |Firmicutes |Clostridia |Clostridiales |Ruminococcaceae |Unknown|Ruminococcaceae bacterium AM28-23LB 	0	0	7.05E-07	0	0	0	1.98E-06	2.17E-06	1.48E-06	0	0	0	0	0	0	0	0	0				
Bacteria |Firmicutes |Clostridia |Clostridiales |Ruminococcaceae |Unknown|Ruminococcaceae bacterium CPB6 	1.45E-07	0	1.76E-07	0	0	0	0	0	0	0	0	0	1.18E-07	2.43E-07	0	0	0	0				
Bacteria |Firmicutes |Clostridia |Clostridiales |Ruminococcaceae |Unknown|Ruminococcaceae bacterium cv2 	4.34E-06	6.47E-06	5.29E-06	0	0	0	0	0	0	0	0	0	3.54E-07	7.30E-07	3.19E-07	0	0	0				
Bacteria |Firmicutes |Clostridia |Clostridiales |Ruminococcaceae |Unknown|Ruminococcaceae bacterium D16 	2.90E-07	8.63E-07	1.59E-06	0	0	0	0.000131883	8.98E-05	0.000192372	0	0	0	5.19E-06	1.45E-05	0	0	0	0				
Bacteria |Firmicutes |Clostridia |Clostridiales |Ruminococcaceae |Unknown|Ruminococcaceae bacterium FB2012 	1.45E-07	4.31E-07	1.76E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Firmicutes |Clostridia |Clostridiales |Ruminococcaceae |Unknown|Ruminococcaceae bacterium KLE1738 	9.84E-06	1.53E-05	2.50E-05	0	0	0	2.82E-06	0	0	1.26E-06	1.22E-06	1.15E-06	1.18E-07	1.22E-07	0	0	0	0				
Bacteria |Firmicutes |Clostridia |Clostridiales |Ruminococcaceae |Unknown|Ruminococcaceae bacterium Marseille-P2935 	1.45E-07	2.16E-07	5.29E-07	0	0	0	2.26E-06	1.81E-06	2.81E-06	0	0	0	3.54E-07	1.22E-07	1.59E-07	0	0	0				
Bacteria |Firmicutes |Clostridia |Clostridiales |Ruminococcaceae |Unknown|Ruminococcaceae bacterium P7 	1.45E-07	1.29E-06	0	0	0	0	0	0	0	0	1.22E-06	0	0	0	0	0	0	0				
Bacteria |Firmicutes |Clostridia |Clostridiales |Ruminococcaceae |Unknown|Ruminococcaceae bacterium TF06-43 	4.34E-07	4.31E-07	3.52E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Firmicutes |Clostridia |Clostridiales |Unknown|Epulopiscium |Epulopiscium sp. SCG-B05WGA-EpuloA1 	0	0	3.52E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Firmicutes |Clostridia |Clostridiales |Unknown|Epulopiscium |Unknown	1.45E-07	8.63E-07	1.76E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Firmicutes |Clostridia |Clostridiales |Unknown|Intestinimonas |Intestinimonas massiliensis 	1.88E-06	2.89E-05	3.68E-05	0	0	0	5.65E-07	0	0	0	0	0	0	4.86E-07	0	0	0	0				
Bacteria |Firmicutes |Clostridia |Clostridiales |Unknown|Intestinimonas |Unknown	0	8.63E-07	3.52E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Firmicutes |Clostridia |Clostridiales |Unknown|Lawsonibacter |Lawsonibacter asaccharolyticus* 	1.48E-05	3.43E-05	6.41E-05	0	0	0	0.000176785	9.94E-05	7.62E-05	0	0	0	6.37E-06	2.43E-06	0	0	0	0				
Bacteria |Firmicutes |Clostridia |Clostridiales |Unknown|Monoglobus |Monoglobus pectinilyticus* 	0.000398102	0.0017602	0.000368795	0	0	0	0	0	0	0	0	0	2.36E-07	0	0	0	0	0				
Bacteria |Firmicutes |Clostridia |Clostridiales |Unknown|Unknown|butyrate-producing bacterium SM4/1 	1.45E-07	0	1.76E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Firmicutes |Clostridia |Clostridiales |Unknown|Unknown|Clostridiales bacterium 41_12_two_minus 	7.24E-07	6.47E-06	2.29E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Firmicutes |Clostridia |Clostridiales |Unknown|Unknown|Clostridiales bacterium 42_27 	8.69E-07	1.73E-06	2.82E-06	0	0	0	1.02E-05	2.17E-06	8.86E-07	0	0	0	0	9.73E-07	3.03E-06	0	0	0				
Bacteria |Firmicutes |Clostridia |Clostridiales |Unknown|Unknown|Clostridiales bacterium 45_37 	0	4.31E-07	1.76E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Firmicutes |Clostridia |Clostridiales |Unknown|Unknown|Clostridiales bacterium 52_15 	4.44E-05	3.54E-05	1.80E-05	0	0	0	0	0	0.000111171	0	0	0	2.36E-07	1.70E-05	0	0	0	0				
Bacteria |Firmicutes |Clostridia |Clostridiales |Unknown|Unknown|Clostridiales bacterium AM23-16LB 	5.79E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Firmicutes |Clostridia |Clostridiales |Unknown|Unknown|Clostridiales bacterium CCNA10 	9.99E-06	5.87E-05	3.74E-05	0	0	0	3.47E-05	5.78E-06	0	0	0	0	0	4.74E-06	4.78E-07	0	0	0				
Bacteria |Firmicutes |Clostridia |Clostridiales |Unknown|Unknown|Clostridiales bacterium CHKCI001 	2.32E-06	2.80E-06	3.52E-07	0	0	0	0	0	0	0	0	0	0	2.80E-06	0	0	0	0				
Bacteria |Firmicutes |Clostridia |Clostridiales |Unknown|Unknown|Clostridiales bacterium CHKCI006 	5.79E-07	6.47E-07	1.76E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Firmicutes |Clostridia |Clostridiales |Unknown|Unknown|Clostridiales bacterium Choco116 	2.90E-06	5.82E-06	7.58E-06	0	0	0	0	0	0	0	0	0	0	2.43E-07	0	0	0	0				
Bacteria |Firmicutes |Clostridia |Clostridiales |Unknown|Unknown|Clostridiales bacterium DRI-13 	0	6.47E-07	7.05E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Firmicutes |Clostridia |Clostridiales |Unknown|Unknown|Clostridiales bacterium GWF2_36_10 	2.90E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Firmicutes |Clostridia |Clostridiales |Unknown|Unknown|Clostridiales bacterium KLE1615 	1.16E-06	6.47E-07	1.23E-06	0	0	0	0	0	0	7.20E-07	0	9.60E-08	0	0	0	0	0	0				
Bacteria |Firmicutes |Clostridia |Clostridiales |Unknown|Unknown|Clostridiales bacterium Marseille-P2846 	1.45E-06	8.63E-07	2.11E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
Bacteria |Firmicutes |Clostridia |Clostridiales |Unknown|Unknown|Clostridiales bacterium Marseille-P5551 	2.61E-06	3.45E-06	2.47E-06	0	0	0	0	0	0	2.70E-06	3.04E-06	4.80E-06	0	9.73E-07	0	0	0	0				
